lang,UC(X),GT
en,0.20582700420606673,False
en,0.6171089780142411,False
es,0.8347140591522857,True
es,0.6561150949435209,False
en,0.48416651460155097,True
es,0.48881127658710677,True
en,0.2394125274133084,False
en,0.8782421556124521,True
es,0.6913651862764231,True
en,0.3416168543099311,False
en,0.3349914034695096,False
en,0.4039428606646773,False
en,0.39811830681359045,False
en,0.4527276367833158,False
es,0.6040765001698863,False
en,0.3129911956634574,True
es,0.8138725259625975,True
es,0.42977529025061484,False
es,0.4695161656714968,False
es,0.515217630413306,False
es,0.7185678945887796,False
en,0.6864563950113488,False
es,0.14921948924807138,False
es,0.42648224830959774,False
en,0.44368531143922657,False
en,0.18098797628725877,False
es,0.478770705863463,False
es,0.7928644605372367,False
es,0.847946647922268,False
en,0.4197535228613893,False
es,0.2012371125571605,False
en,0.27792200580761683,False
es,0.6814685424911282,True
en,0.336406771295703,False
es,0.709251046952501,True
es,0.22695559551425235,False
es,0.39315156343345786,False
es,0.37691411160621857,False
es,0.08034960496119069,False
es,0.6567516505970985,True
es,0.38733889105053443,False
es,0.22684475322792752,False
es,0.5419882134178704,False
en,0.6918980591224729,False
en,0.5376133162057433,False
es,0.42633612134621257,False
es,0.670329603305382,False
en,0.5825072536255307,False
en,0.5756003541964049,True
en,0.7429835000386985,False
en,0.3051918479231353,False
en,0.8611142043465355,False
es,0.5052317120783555,False
es,0.7150992093486097,False
es,0.6955119771043885,False
en,0.7247600527757806,False
en,0.685715743483227,False
es,0.8918194567195619,True
es,0.3579131189348945,False
es,0.3913157975033075,False
es,0.8281588123799062,True
es,0.34740316923715175,False
en,0.22669885497819592,False
en,0.3758745995000435,False
en,0.2560291065536632,False
es,0.5124958937529743,False
en,0.4464196767107381,False
es,0.08825653095800366,False
es,0.17148970347884804,False
en,0.7180789788062036,False
es,0.6608346555737228,False
es,0.18391813977357596,False
en,0.44003485667148645,False
es,0.3517247060649831,True
es,0.5071598465688942,False
es,0.7914695383656971,False
en,0.6079642973880531,False
en,0.37802092624619005,True
es,0.4108521123988848,False
es,0.6334644523977402,False
es,0.8487062584415558,True
en,0.6048103604809231,True
en,0.38280360470079866,False
es,0.6374736605393024,True
es,0.10033994140979563,False
es,0.6687166963596551,True
en,0.14092972204239534,False
en,0.2493626550368093,False
es,0.29885064278933127,False
es,0.43105783399007125,False
en,0.488118620923455,True
en,0.7045214872442671,True
es,0.25188741950549176,False
en,0.2454016053158744,False
es,0.8884384469231291,False
en,0.43483391257233267,False
es,0.59504774491138,False
es,0.7693862488747948,False
en,0.26265854014793516,False
es,0.5725356648683321,False
es,0.7243143842722727,False
en,0.5792577826457507,True
en,0.5434539951346722,False
es,0.16436885310493657,False
es,0.4549206302107743,False
es,0.7656119778238767,True
en,0.272548132888627,False
en,0.331485318424066,False
es,0.6490331882564953,True
es,0.4326078145009765,True
es,0.5626262744141447,False
en,0.3691640356589186,False
en,0.6084192908929075,False
es,0.21341681736717263,False
es,0.329049714071795,False
en,0.4660389026325445,True
en,0.5328077660675206,False
en,0.8743423953330499,False
es,0.8031214576801943,False
en,0.498302989212151,False
en,0.7672203721872127,True
en,0.18206085304629552,False
es,0.44250214632747437,False
en,0.3754995459391258,False
es,0.07754342126944425,False
en,0.5424467177814084,False
en,0.7102679886708763,True
es,0.9321978063007855,True
es,0.9360922858561693,True
en,0.2761882981282851,False
en,0.47479171248637525,False
en,0.16363508453909933,False
en,0.44591747504069856,False
en,0.69762704192218,True
es,0.27739359763776483,False
es,0.7895089229776022,False
en,0.5493604363796264,False
es,0.682896886858901,False
en,0.29103616262123816,False
en,0.648588960798096,True
en,0.5949984444445553,False
es,0.8553041198909841,True
en,0.4590009186531282,False
en,0.8095887913553331,False
en,0.7406575553862715,True
es,0.025461192360834176,False
en,0.6197057948314356,False
en,0.5211768568274957,False
en,0.38804661769343834,False
en,0.2228617495350616,False
es,0.16403375228172112,False
en,0.2725623081438547,False
es,0.5266238788722729,False
en,0.20202748995619274,False
en,0.4169700054672895,False
es,0.6587823862829194,True
es,0.7926588296039598,False
en,0.3010223178147324,False
en,0.11786800926371156,False
en,0.8511522628205673,False
es,0.6480774740090126,False
en,0.43694124066505563,False
es,0.6249600904812813,False
en,0.28008010658019267,False
en,0.4038221733654352,False
es,0.7382908626976041,False
es,0.17109904221019356,False
en,0.6455134974728707,True
en,0.23953739704699786,False
es,0.9554616777504602,False
es,0.7721018786095808,False
es,0.49688628875551777,False
en,0.5747078537880618,False
es,0.25018908561321535,False
en,0.5499640472383585,True
