has_url,lang,UC(X),GT
no,en,0.0802567324310821,False
no,en,0.8052230005979396,False
no,en,0.9391469656710048,True
yes,en,0.1970105842507506,True
no,en,0.051810911629482426,True
no,en,0.9657747609966298,True
no,en,0.4044205529808411,True
no,en,0.9580617500616662,False
yes,es,0.6250961305563991,False
no,en,0.4073626931707017,False
yes,en,0.11512349559609265,False
yes,en,0.31880632486760313,False
yes,en,0.22828386388090502,False
yes,en,0.2771890783655535,False
yes,en,0.46828463589335617,False
no,es,0.39775904021771613,False
no,es,0.9393900515376343,False
no,es,0.3953512480290989,True
yes,en,0.6900085433979898,False
yes,en,0.10112598648889022,True
no,es,0.22545580539573706,True
yes,es,0.0009286200313061964,True
yes,es,0.9250614794465124,False
yes,en,0.8169850111288391,False
no,en,0.8317113591077536,False
no,en,0.2595853761239159,False
no,es,0.8763534380652149,False
no,es,0.31154658549055664,False
no,en,0.45728852663979536,False
no,es,0.2833835698746361,False
no,en,0.46176696307212367,False
yes,es,0.9029030925635693,True
yes,es,0.21473730341396216,False
no,es,0.33515146944445195,False
yes,en,0.4945768923769639,False
yes,en,0.9347447274947245,True
yes,es,0.784301638901861,False
no,es,0.9316684025577043,False
no,es,0.06783289390230224,False
no,es,0.5112231864494433,True
yes,es,0.06164143560956479,False
yes,es,0.23743305203907436,True
yes,es,0.14813294397386664,False
yes,es,0.6747754917211808,False
no,es,0.946804683296053,True
no,en,0.24939813850156153,False
yes,en,0.19989574344173436,False
yes,en,0.3671158898244193,False
yes,en,0.8480339761093515,False
no,es,0.7932908594788214,False
no,en,0.7540082580355545,False
no,es,0.47844993464648206,False
yes,en,0.12790443038726962,False
yes,en,0.8744573686556087,True
yes,en,0.23674395307521384,False
yes,en,0.8570464382768425,False
no,en,0.32535122473519906,False
no,es,0.36887564512770205,True
yes,en,0.6514105111709019,False
yes,en,0.19260635440886037,True
no,es,0.027394947597404136,False
no,es,0.8433038790226425,False
no,en,0.514659013480015,False
no,es,0.3676994207121095,False
no,en,0.0349319198693896,False
no,en,0.08038429296412529,True
no,en,0.670815336849606,False
yes,en,0.8290170346101776,False
no,es,0.3095164442732927,False
yes,es,0.9416503504419106,False
yes,en,0.21402198758601274,False
no,en,0.043956855837825284,False
yes,en,0.7593042105727893,False
yes,en,0.09264089809049024,True
no,es,0.12332391118527965,False
no,en,0.1734668634011389,False
yes,en,0.19780360553969875,True
no,en,0.1328583249763289,False
yes,en,0.16493195774528638,False
yes,en,0.14370282643559198,False
no,es,0.0936019605744344,False
no,es,0.5836420246281936,True
yes,es,0.8143516240836585,False
yes,en,0.3469033635636423,True
no,en,0.7884071609431196,False
no,es,0.25711922928164466,False
yes,es,0.19087772699811797,False
yes,en,0.3719420586948338,False
no,en,0.37467108362640883,True
no,es,0.0970268831061473,False
no,es,0.6624781122346406,False
yes,en,0.08413286008119007,False
no,en,0.5203237869104729,False
no,es,0.38559238517278016,False
no,en,0.36807301992967945,False
yes,es,0.03324929167697337,False
yes,en,0.38241871971468244,False
yes,en,0.32933330953664663,True
yes,en,0.5515637830396803,False
yes,en,0.3284970765344526,False
yes,es,0.8434297580473551,False
yes,en,0.945899231319437,True
no,en,0.4833534090828427,False
yes,es,0.0790724604687874,True
yes,es,0.05458676508198063,True
no,en,0.31283556872192214,False
no,es,0.5153005692883466,True
yes,en,0.6047323700510088,False
no,en,0.278694893108698,False
yes,es,0.6644164700872771,False
yes,en,0.01841285030369557,True
yes,en,0.11854674564119,False
yes,en,0.15622758734140763,False
yes,es,0.2733928984229338,False
yes,en,0.0746966286878112,True
no,en,0.3522776154985939,False
no,en,0.08588060511478066,False
yes,es,0.2086697235381451,True
no,en,0.3645865312267566,True
no,es,0.3340311799251422,False
yes,es,0.905351836034815,False
yes,es,0.2523927824591556,False
yes,en,0.9137548608008327,False
no,en,0.9091398201076446,False
yes,en,0.44996380723721774,False
no,es,0.9156255641760548,False
yes,en,0.14701580665227085,False
yes,en,0.182460707144809,False
yes,es,0.8062670110099285,False
yes,en,0.9069383693061706,False
no,es,0.06709763706782948,True
no,es,0.22228464644092974,False
yes,en,0.10787358916427282,True
yes,en,0.688749368322494,False
no,es,0.10269838214930525,False
yes,es,0.5975351504964269,False
no,en,0.5048110773715924,False
yes,es,0.8088316756915057,False
yes,es,0.677115573277895,False
no,en,0.6436567257256407,False
yes,es,0.423231744237647,True
no,en,0.957357883297852,False
yes,es,0.11660390119076995,False
no,es,0.8013635369547477,False
yes,en,0.1899832071785494,False
yes,es,0.7665731043240173,False
no,es,0.14360929412767545,False
yes,es,0.17458516306061717,False
yes,en,0.9203840726735283,False
no,es,0.370605005150205,False
no,es,0.43809829412268014,False
yes,es,0.8802785514791606,False
no,es,0.8920708387633587,False
no,es,0.7749144879619019,False
no,es,0.2524478236558818,False
yes,en,0.8864405232042994,True
no,en,0.35707171145151567,False
yes,en,0.6042891914808599,False
yes,es,0.895392533999469,False
no,en,0.9875825672677622,False
yes,es,0.3364293339269816,False
yes,es,0.79344846878851,False
yes,es,0.30755857233206074,False
yes,es,0.8763425603071153,False
yes,en,0.1574379330408635,False
yes,en,0.6393455537676719,False
yes,en,0.9788618486771276,False
no,es,0.5929963965598337,False
no,en,0.3879897005239467,False
no,es,0.2702317466089099,False
yes,en,0.299833862203406,False
yes,en,0.9262181417689995,False
yes,es,0.44813640468020327,True
yes,en,0.05689098349307308,False
yes,es,0.3449131270661158,True
no,es,0.2091057775990956,True
yes,es,0.46703623719017,True
no,en,0.2977629592932518,True
no,es,0.8103575616944081,False
yes,en,0.30510875910133356,False
no,en,0.6153661547335548,True
no,en,0.808915781798708,False
yes,es,0.4495449804687412,True
no,es,0.31658102016437584,True
yes,en,0.38624532971031217,False
no,es,0.3137248617297541,True
yes,es,0.07812607647239442,True
no,en,0.4099360669232216,False
yes,en,0.07096017850591568,False
no,en,0.3578382281286241,False
yes,es,0.18644052667738228,False
yes,es,0.11918615741496964,False
yes,es,0.1600145339240877,False
no,en,0.8252281161725931,False
no,en,0.8935915069416226,False
no,en,0.9416198431317612,False
yes,es,0.2072812357529002,False
no,es,0.7190341675570713,False
yes,es,0.5686265192005064,False
yes,en,0.22236213465084945,False
yes,es,0.05417731370445966,False
no,en,0.75248712146383,False
yes,es,0.37544182056088954,False
yes,es,0.6843357720761679,False
no,es,0.4518767525396961,True
yes,en,0.2397622169995155,False
yes,es,0.23159756970387668,False
yes,es,0.8687720750562868,False
no,es,0.43903492423239765,False
yes,es,0.7406043346257144,False
no,en,0.25285652133859216,False
no,en,0.07977306783665707,True
no,es,0.028173365870653666,False
yes,en,0.14983171617332397,False
no,es,0.08643168196767001,False
yes,es,0.2187734558629627,False
no,en,0.8950419457100632,False
yes,es,0.14122596472221305,False
no,es,0.7866511296261116,True
yes,en,0.39025556872038986,False
yes,es,0.2841656724632685,True
no,en,0.5935957206874856,False
no,es,0.2903102337372349,True
no,es,0.9335988238614761,False
yes,es,0.9156102848006619,True
no,en,0.28864317713640386,True
no,es,0.4759743832499297,False
yes,es,0.7721402833144482,False
no,en,0.1157134058070425,True
yes,en,0.42922315733500793,False
no,es,0.10239140196243156,False
no,en,0.8771070540222041,False
yes,en,0.31281912025866393,True
no,es,0.40542539465763466,False
yes,es,0.8306866942622497,False
no,en,0.8721641027810466,True
yes,es,0.8021890213542371,True
yes,en,0.4940512676531517,False
yes,es,0.837319385930968,False
yes,en,0.8587208133198061,False
no,en,0.11231181496737713,False
yes,en,0.6591183949671562,True
yes,es,0.3900467731055749,False
no,es,0.07864376804073148,False
no,en,0.907139458319247,False
no,en,0.28220406063120307,False
yes,es,0.2291520362441877,False
yes,es,0.3019473450548074,False
yes,en,0.10435013023263381,False
no,es,0.2741728237592409,False
no,en,0.0519611480458826,False
yes,en,0.9296148519666906,True
yes,es,0.8564707796336826,False
no,en,0.31230854877271097,False
yes,en,0.13310699750257546,False
yes,en,0.3293355481376806,True
no,es,0.8571674111052594,False
yes,en,0.2652833929122493,False
no,en,0.15580418365885218,False
no,en,0.4249297543982133,False
yes,es,0.1442136793443907,False
yes,es,0.2863875426572593,False
no,en,0.1333808822134919,False
no,en,0.7486351444954968,False
no,en,0.3241469437690199,False
yes,es,0.38132242143702577,False
no,es,0.053549606712568414,False
yes,es,0.10666131611583733,True
yes,es,0.899620905348135,False
no,en,0.7323307176143736,False
no,en,0.17831531957927046,True
no,es,0.1986659656223686,True
yes,es,0.36201899400872384,False
no,es,0.6137762205171691,False
no,es,0.2514516430290822,False
no,en,0.8184920727831612,False
no,es,0.10183562422388416,True
no,es,0.032826435974745063,False
yes,es,0.21179185650356308,False
yes,es,0.8308451574234218,False
no,en,0.3675222655210209,False
no,en,0.6050766488468827,False
no,en,0.9696831246812347,True
no,es,0.4755518599181554,False
no,es,0.33112799964821504,False
no,en,0.17013989796772092,False
yes,en,0.1277723969530308,False
yes,en,0.2953635970576146,False
no,es,0.16347980122373873,False
yes,es,0.9393903673972146,False
yes,en,0.13045033888521793,False
yes,es,0.8182831149310436,False
no,es,0.6118289180442282,False
no,en,0.25552283654590563,False
yes,es,0.3003162489390074,False
no,es,0.9463727591856518,False
no,en,0.03777531063313272,False
yes,en,0.11081001577815791,True
yes,en,0.13007198379878648,True
yes,es,0.5340172617450363,True
yes,es,0.46751442836128104,False
no,en,0.3003688142258408,False
yes,es,0.26353504844281844,False
yes,en,0.27177045339255124,False
